# Time (Days),Gross Gas (Mcf),Gross Oil (Bbl),Gross NGL (Bbl),Net Gas (Mcf),Net Oil (Mcf),Net NGL (Mcf),Base Gas Price ($/Mcf),Base Oil Price ($/Bbl),Realized Gas Price ($/Mcf),Realized Oil Price ($/Mcf,Realized NGL Price ($/Bbl),Gas Revenue ($),Oil Revenue ($),NGL Revenue ($),Total Net Revenue ($),Severance Tax ($),Ad Valorem Tax ($),Total Expenses ($),Net CAPEX ($),Net PV0 ($),Cum PV0 ($),Net PV10 ($),Cum PV10 ($)
1.521875000000000000e+01,1.690708164921897696e+04,3.381416329843794699e+01,6.762832659687588830e+02,1.331432679875994290e+04,2.958739288613320539e+01,5.917478577226639800e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,3.195438431702386151e+04,1.014847575994368867e+03,1.038517490303275372e+04,4.335440679605098558e+04,8.670881359210197843e+02,2.549239119607797875e+03,1.112595648757267190e+04,2.150000000000000000e+05,-1.827715496915216791e+05,-1.827715496915216791e+05,-1.827715496915216791e+05,-1.827715496915216791e+05
4.565625000000000000e+01,1.602338295067975560e+04,3.204676590135951386e+01,6.409353180271904193e+02,1.261841407366030944e+04,2.804092016368957374e+01,5.608184032737915459e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,3.028419377678474120e+04,9.618035616145523363e+02,9.842362977455042710e+03,4.108836031585434102e+04,8.217672063170867887e+02,2.415995586572234970e+03,1.054442541839929072e+04,0.000000000000000000e+00,3.054393489745505212e+04,-1.522276147940666415e+05,3.030230010112985838e+04,-1.524692495903918170e+05
7.609375000000000000e+01,1.525487982833950628e+04,3.050975965667901946e+01,6.101951931335801191e+02,1.201321786481736126e+04,2.669603969959413803e+01,5.339207939918827606e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.883172287556166702e+04,9.156741616960788406e+02,9.370309934557542874e+03,3.911770697181529249e+04,7.823541394363058998e+02,2.300121169942739016e+03,1.003870051110185887e+04,0.000000000000000000e+00,2.907900646071343363e+04,-1.231486083333532151e+05,2.862073503574394636e+04,-1.238485145546478743e+05
1.065312500000000000e+02,1.457791460157308393e+04,2.915582920314616899e+01,5.831165840629234935e+02,1.148010774873880837e+04,2.551135055275290142e+01,5.102270110550579147e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.755225859697314081e+04,8.750393239594244505e+02,8.954484044016266125e+03,3.738178196494883014e+04,7.476356392989765709e+02,2.198048779538991312e+03,9.593213477155295550e+03,0.000000000000000000e+00,2.778856848779353459e+04,-9.536003984555968782e+04,2.713426134615624687e+04,-9.671425320849163109e+04
1.369687500000000000e+02,1.397519179426246228e+04,2.795038358852491811e+01,5.590076717704984048e+02,1.100546353798168821e+04,2.445658563995930379e+01,4.891317127991860048e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.641311249115605096e+04,8.388608874506040820e+02,8.584261559625714654e+03,3.583623493823236640e+04,7.167246987646473144e+02,2.107170614368063070e+03,9.196582771316390790e+03,0.000000000000000000e+00,2.663965216691597743e+04,-6.872038767864371766e+04,2.580661175977286621e+04,-7.090764144871875760e+04
1.674062500000000000e+02,1.343372948336766058e+04,2.686745896673532386e+01,5.373491793347064913e+02,1.057906196815203657e+04,2.350902659589340971e+01,4.701805319178682225e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.538974872356488777e+04,8.063596122391438712e+02,8.251668335158587070e+03,3.444777667096261575e+04,6.889555334192523333e+02,2.025529268252601469e+03,8.840265446087509190e+03,0.000000000000000000e+00,2.560751122487510656e+04,-4.311287645376860746e+04,2.461049900603953938e+04,-4.629714244267922186e+04
1.978437500000000000e+02,1.294356371953133021e+04,2.588712743906265956e+01,5.177425487812530491e+02,1.019305642913092379e+04,2.265123650917982445e+01,4.530247301835965459e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.446333542991421564e+04,7.769374122648679304e+02,7.950584014722119718e+03,3.319085685690120590e+04,6.638171371380241226e+02,1.951622383185790795e+03,8.517704576430101952e+03,0.000000000000000000e+00,2.467315228047110577e+04,-1.843972417329750169e+04,2.352492765818876796e+04,-2.277221478449045389e+04
2.282812500000000000e+02,1.249689919972313692e+04,2.499379839944627335e+01,4.998759679889255381e+02,9.841308119781970163e+03,2.186957359951549051e+01,4.373914719903098103e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.361913948747672839e+04,7.501263744633812394e+02,7.676220333429937455e+03,3.204548619537004561e+04,6.409097239074009167e+02,1.884274588287758661e+03,8.223770347268909973e+03,0.000000000000000000e+00,2.382171584810113563e+04,5.381991674803633941e+03,2.253343013654953029e+04,-2.387846479409236053e+02
2.587187500000000000e+02,1.208753516044821845e+04,2.417507032089643459e+01,4.835014064179287061e+02,9.518933938852971551e+03,2.115318653078438160e+01,4.230637306156876321e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.284544145324713099e+04,7.255542980059042293e+02,7.424768472305318028e+03,3.099576422355835166e+04,6.199152844711670696e+02,1.822550936345230866e+03,7.954382253980785208e+03,0.000000000000000000e+00,2.304138196957756736e+04,2.842337364438120130e+04,2.162287312711798950e+04,2.138408847917706589e+04
2.891562500000000000e+02,1.171046691084628401e+04,2.342093382169257154e+01,4.684186764338513740e+02,9.221992692291447383e+03,2.049331709398099832e+01,4.098663418796199380e+02,2.500000000000000000e+00,4.500000000000000000e+01,2.399999999999999911e+00,3.429999999999999716e+01,1.755000000000000071e+01,2.213278246149947154e+04,7.029207763235482389e+02,7.193154299987329978e+03,3.002885753781035237e+04,6.005771507562070610e+02,1.765696823223248657e+03,7.706246885325359472e+03,0.000000000000000000e+00,2.232261065248499290e+04,5.074598429686619784e+04,2.078262831392012595e+04,4.216671679309719184e+04
